contest_number,image_url,human_description,top_caption_1,example
671,https://nextml.github.io/caption-contest-data/cartoons/671.jpg,"Two woolly mammoths are standing in a cave. One mammoth has several tiny cavemen on its back, each holding a spear and appearing to be attacking the mammoth. The mammoth without cavemen looks at the other mammoth, who is speaking with a slight grimace. The scene is set against a backdrop of cave walls.",It didn’t really bother me until they discovered fire.,"The mammoth implies that the tiny cavemen are lighting fires on its back, which would be uncomfortable."
672,https://nextml.github.io/caption-contest-data/cartoons/672.jpg,"In a doctor's office, a man with a rat's head, dressed in a lab coat and tie, sits behind a cluttered desk with a computer, papers, and a prescription pad. He is handing a prescription to a patient seated across from him. The walls are adorned with framed certificates. The rat-headed doctor appears to be speaking.",Don't worry. I wouldn't prescribe anything I haven't tested on myself.,It is implied that the medicine being prescried caused the doctor to look like a mouse.
673,https://nextml.github.io/caption-contest-data/cartoons/673.jpg,"A tall, medieval-style tower with a woman at the top has incredibly long hair flowing down to the ground, like Rapunzel. A man is completely tangled in the hair, towards the ground, with his feathered hat on the ground below. The scene is set against a backdrop of distant hills.","For God's sake, Dave, you're thirty-five—just use the stairs.","Calling the prince ""Dave"" and pointing out that he's 35 subverts the fairytale theme of Rapunzel, replacing it with a snarky modern tone."
674,https://nextml.github.io/caption-contest-data/cartoons/674.jpg,"A massive, menacing werewolf stands on a rocky outcrop, towering over a man in a hoodie who is casually walking his small dog, curiously looking up at the werewolf. The werewolf appears to be snarling, while the man looks back at it with an annoyed expression. The scene is set in a desolate, moonlit landscape with distant trees and mountains. The man is speaking.",Let's let him keep your ball.,"This plays on the trope of dogs fighting over a ball in a park, framing the werewolf as just a really scary dog."
675,https://nextml.github.io/caption-contest-data/cartoons/675.jpg,"At a crowded party, a deep-sea diver and an astronaut, both in full gear covering their bodies and heads, stand holding drinks. A woman with a drink in hand is playfully tapping the astronaut's backpack. The other partygoers in the background are engaged in conversation, creating a lively atmosphere. The woman is speaking.",You two seem oddly suited.,"This plays on the double meaning of ""oddly suited"", as in the figurative meaning of being well matched, and the literal meaning of wearing odd suits for the occasion."
676,https://nextml.github.io/caption-contest-data/cartoons/676.jpg,"A caveman is grilling a cartoonishly enormous piece of meat on a small barbecue grill under a crescent moon. He holds a spatula and looks back at his family, who are standing at the entrance of a cave. The family, consisting of a woman, a child, and a crawling baby, appear to be watching him with a mix of curiosity and concern. The scene is set in a prehistoric landscape with mountains in the background. The caveman is speaking to the family.",I don't tell you how to gather.,"This refers to the term ""hunter-gatherer"", implying that the wife is criticizing his hunting."
677,https://nextml.github.io/caption-contest-data/cartoons/677.jpg,"A man, appearing to be sleepwalking with his arms extended, is heading towards a refrigerator in a kitchen. His eyes are half-closed, and he looks disheveled. On the kitchen counter, a cat with glowing eyes is sitting and staring directly at the man, emitting beams of light from its eyes that illuminate the refrigerator. The scene is surreal and humorous, with the cat seemingly guiding the sleepwalker.",The ahi. Not the canned.,"The cat is directing the human to upgrade its food to the fancy human tuna, playing on the idea that cats only like humans because they feed them."
678,https://nextml.github.io/caption-contest-data/cartoons/678.jpg,"In a surreal and whimsical scene, two giraffes stand in a barren landscape with their necks intricately twisted and intertwined into a complex knot. Their heads, appearing slightly perplexed, emerge from the tangled mess, looking in different directions. The background features gentle rolling hills, adding to the absurdity of the situation. One giraffe is speaking to the other.",I always knew we'd wind up together.,"The caption plays on the dual meaning of ""wind up"", as in the figurative meaning of ending up together, and the literal fact that their necks are wound up."
679,https://nextml.github.io/caption-contest-data/cartoons/679.jpg,"A king with a long beard and a crown sits on a throne surrounded by various potted cacti and a Venus flytrap. A knight in armor stands to the right, holding a sword and speaking to the king. The scene is set in a desert-like environment, with the king appearing contemplative.","Well, after you beheaded the groundskeeper, we had to go with something low-maintenance.",Succulents are known for being easy to take care of.
680,https://nextml.github.io/caption-contest-data/cartoons/680.jpg,"In a fancy restaurant, a drenched bear stands dripping water onto the floor, forming a puddle. Across from the bear, a man in a suit sits at a table, calmly reading a menu labeled ""Market St"" with a glass of wine and a basket of bread in front of him. The bear appears to be waiting for something, while the man orders from the menu, unfazed by the bear's presence. ","Well, don't put it on the menu if you can't catch one.","Fish on menus are often unavailable, and in this setting, it's because the bear is catching the fish to order."
681,https://nextml.github.io/caption-contest-data/cartoons/681.jpg,"In a black-and-white cartoon, a man with large red crab claws instead of hands walks down a city street beside a woman who has her arms crossed and looks annoyed. The man appears frustrated. The background features a brick building with large windows. The woman is speaking.",You pinch me one more time and you’re going to find yourself in hot water.,"This plays on the dual meaning of ""pinch,"" as in inappropriately grabbing someone's butt, and literally pinching with his crab pincers.
It also plays on the dual meaning of being in ""hot water"", as in being scolded, and being boiled like a crab."
