contest_number,image_url,human_description,top_caption_1,top_caption_2,top_caption_3
671,https://nextml.github.io/caption-contest-data/cartoons/671.jpg,"Two woolly mammoths are standing in a cave. One mammoth has several tiny cavemen on its back, each holding a spear and appearing to be attacking the mammoth. The mammoth without cavemen looks at the other mammoth, who is speaking with a slight grimace. The scene is set against a backdrop of cave walls.",It didn’t really bother me until they discovered fire.,We never had this problem with the gatherers.,The doctor says they’ll be gone in a few million years.
672,https://nextml.github.io/caption-contest-data/cartoons/672.jpg,"In a doctor's office, a man with a rat's head, dressed in a lab coat and tie, sits behind a cluttered desk with a computer, papers, and a prescription pad. He is handing a prescription to a patient seated across from him. The walls are adorned with framed certificates. The rat-headed doctor appears to be speaking.",Don't worry. I wouldn't prescribe anything I haven't tested on myself.,"Trust me, I know the plague when I see it.",I’m a rat. What you need is an ophthalmologist.
673,https://nextml.github.io/caption-contest-data/cartoons/673.jpg,"A tall, medieval-style tower with a woman at the top has incredibly long hair flowing down to the ground, like Rapunzel. A man is completely tangled in the hair, towards the ground, with his feathered hat on the ground below. The scene is set against a backdrop of distant hills.","For God's sake, Dave, you're thirty-five—just use the stairs.",I'd get out of there before the humidity picks up.,"If you were on time, it wouldn't be this long."
674,https://nextml.github.io/caption-contest-data/cartoons/674.jpg,"A massive, menacing werewolf stands on a rocky outcrop, towering over a man in a hoodie who is casually walking his small dog, curiously looking up at the werewolf. The werewolf appears to be snarling, while the man looks back at it with an annoyed expression. The scene is set in a desolate, moonlit landscape with distant trees and mountains. The man is speaking.",Let's let him keep your ball.,You could at least bark.,"Kinda puts going to the vet in perspective, doesn't it?"
675,https://nextml.github.io/caption-contest-data/cartoons/675.jpg,"At a crowded party, a deep-sea diver and an astronaut, both in full gear covering their bodies and heads, stand holding drinks. A woman with a drink in hand is playfully tapping the astronaut's backpack. The other partygoers in the background are engaged in conversation, creating a lively atmosphere. The woman is speaking.",You two seem oddly suited.,Didn’t I say you wouldn’t be the only one wearing a suit?,"Yeah, I didn't have time to change clothes after work, either."
676,https://nextml.github.io/caption-contest-data/cartoons/676.jpg,"A caveman is grilling a cartoonishly enormous piece of meat on a small barbecue grill under a crescent moon. He holds a spatula and looks back at his family, who are standing at the entrance of a cave. The family, consisting of a woman, a child, and a crawling baby, appear to be watching him with a mix of curiosity and concern. The scene is set in a prehistoric landscape with mountains in the background. The caveman is speaking to the family.",I don't tell you how to gather.,Rare? It's nearly extinct.,I just invented leftovers.
677,https://nextml.github.io/caption-contest-data/cartoons/677.jpg,"A man, appearing to be sleepwalking with his arms extended, is heading towards a refrigerator in a kitchen. His eyes are half-closed, and he looks disheveled. On the kitchen counter, a cat with glowing eyes is sitting and staring directly at the man, emitting beams of light from its eyes that illuminate the refrigerator. The scene is surreal and humorous, with the cat seemingly guiding the sleepwalker.",The ahi. Not the canned.,"You will obey my every whim. Oh, wait—you already do.",Look what I dragged in.
678,https://nextml.github.io/caption-contest-data/cartoons/678.jpg,"In a surreal and whimsical scene, two giraffes stand in a barren landscape with their necks intricately twisted and intertwined into a complex knot. Their heads, appearing slightly perplexed, emerge from the tangled mess, looking in different directions. The background features gentle rolling hills, adding to the absurdity of the situation. One giraffe is speaking to the other.",I always knew we'd wind up together.,"If this shows up in National Geographic, we'll never hear the end of it.",I'm trying to see it from your point of view.
679,https://nextml.github.io/caption-contest-data/cartoons/679.jpg,"A king with a long beard and a crown sits on a throne surrounded by various potted cacti and a Venus flytrap. A knight in armor stands to the right, holding a sword and speaking to the king. The scene is set in a desert-like environment, with the king appearing contemplative.","Well, after you beheaded the groundskeeper, we had to go with something low-maintenance.","My liege, Albuquerque is yours.","Yes, Your Highness. The greatest threat is overwatering."
680,https://nextml.github.io/caption-contest-data/cartoons/680.jpg,"In a fancy restaurant, a drenched bear stands dripping water onto the floor, forming a puddle. Across from the bear, a man in a suit sits at a table, calmly reading a menu labeled ""Market St"" with a glass of wine and a basket of bread in front of him. The bear appears to be waiting for something, while the man orders from the menu, unfazed by the bear's presence. ","Well, don't put it on the menu if you can't catch one.",Is it too late to cancel the salmon?,Aren't you going to write this down?
681,https://nextml.github.io/caption-contest-data/cartoons/681.jpg,"In a black-and-white cartoon, a man with large red crab claws instead of hands walks down a city street beside a woman who has her arms crossed and looks annoyed. The man appears frustrated. The background features a brick building with large windows. The woman is speaking.",You pinch me one more time and you’re going to find yourself in hot water.,I can’t believe you wore shorts. Everyone was staring.,Yeah. Like you’re such a great catch.
682,https://nextml.github.io/caption-contest-data/cartoons/682.jpg,"The last two autumn leaves on a tree, with faces hang from a tree branch, looking down at a street covered with fallen leaves. One leaf in the process of falling off is shocked, while the other looks concerned. The scene is set in a neighborhood with houses and a parked car visible below. The falling leaf is shouting to the leaf still attached.",It’s not you. It’s November.,I'll wait for you on the car.,Seems to me you have problems letting go.
683,https://nextml.github.io/caption-contest-data/cartoons/683.jpg,"A caveman couple walks towards a tall stone tower with several windows, looking up and waving. Another caveman couple are looking out from the top window, waving back down and smiling. The landscape is barren with a few palm trees in the distance.",I guarantee he brings up the whole discovering-fire thing within the first five minutes.,"Four-story brownstones? They’ll never catch on, not in a million years.",It scrape sky.
684,https://nextml.github.io/caption-contest-data/cartoons/684.jpg,"A group of various monsters and creatures, including a dragon, an alien, and a polka-dotted, one-eyed being, are seated around a conference table. A human man in a suit stands smiling at the corner of the table, looking somewhat out of place among the fantastical beings. The scene appears to be a business meeting or discussion. The dragon, at the head of the table, is speaking.","Publicly, we’re still saying there are no side effects.","Good, Human Resources is here.",So the board still has no women?
685,https://nextml.github.io/caption-contest-data/cartoons/685.jpg,"In a forest, two hikers with backpacks and beanies look startled as they encounter a giant honey bear bottle, complete with a dispenser on its head, angrily approaching them. One hiker, a woman with braids, is speaking to the other, a man with a beard and glasses. ","Oh, no. I have its little one in my backpack.",Stay calm. I think it just wants to be squeezed.,I think we’re O.K.—honey doesn’t go bad.
686,https://nextml.github.io/caption-contest-data/cartoons/686.jpg,"In a living room, a bald man is sitting on a giant egg, looking content. Two old women sipping tea, seated on a couch, are staring at him. The room is furnished with a coffee table, lamps, and a framed picture on the wall. One old woman is speaking.",I don’t know how to tell him it’s not his.,He’s brooding again.,But will he lift a finger after it hatches?
687,https://nextml.github.io/caption-contest-data/cartoons/687.jpg,"A woman holding a wine glass stands on a rooftop in a city, delighted, looking back at a man sitting at a table with a bottle and glass. Behind them, an enormous face peers over the building, its eyes wide and expressionless, creating an absurd and uncanny scene. The man at the table looks surprised. The woman is speaking with a smile.",How much did you spend at Macy’s this year?,I’d hate to be on the third floor.,"It’s a perfect likeness, George. Right down to the hot air."
688,https://nextml.github.io/caption-contest-data/cartoons/688.jpg,"At a formal gathering, a stern-looking military officer with numerous medals and a cartoonishly long, receipt-like ribbon on his uniform holds a glass of wine. A woman in a black dress, also holding a glass of wine, is leaning in and speaking to him. Other guests are mingling in the background. The officer is speaking.",I was stationed at CVS during the war on drugs.,It’s the price of freedom.,I got tired of explaining each one.
689,https://nextml.github.io/caption-contest-data/cartoons/689.jpg,"A knight in full armor, riding a checkered horse, is holding a lance that has skewered a car door. The knight faces a police officer who is holding a notepad and pen, seemingly about to write a ticket or report. The knight is speaking, possibly explaining himself.","Yes, but just a couple of meads, probably more than an hour ago.","But, officer, he did not yield!",It used to be chivalrous to open doors for people.
690,https://nextml.github.io/caption-contest-data/cartoons/690.jpg,"An astronaut in full space gear stands inside an elevator, facing a surprised bellhop who is holding the elevator door open. The scene takes place in a building lobby, with a potted plant and a directory visible on the wall. The bellhop is speaking to the astronaut.","""Please watch your small step.""","I'm sorry, I just assumed you'd want to go up.","After the top floor, you're on your own."
691,https://nextml.github.io/caption-contest-data/cartoons/691.jpg,"A couple is sitting in their living room, with the man using a laptop and the woman knitting. Outside the window, a large crowd of snowmen, some wearing hats and scarves, are peering in, seemingly watching the couple. The scene is set at night, with bare trees visible in the background. The woman knitting on the couch against the window looks back at the snowmen with a concerned expression, but the man, who is speaking, appears unfazed.","Great, now they all want a scarf.",Invite them in if you want to get rid of them.,"Well, he did say he’d be back again someday."
692,https://nextml.github.io/caption-contest-data/cartoons/692.jpg,"In a surreal costume shop, a wolf dressed in a sheep costume stands on a pedestal, admiring itself in a mirror. Nearby, ain a suit is holding various animal costumes, including a zebra, goat, and unicorn. The scene is filled with an array of animal disguises, some hanging from the ceiling and others draped over furniture. The wolf is speaking.",I'll take this and the granny dress.,"""Perfect! I'm surprising someone for dinner.""","This is more practical for work, but the zebra is just so fun."
693,https://nextml.github.io/caption-contest-data/cartoons/693.jpg,"In a laboratory, two scientists in lab coats are observing a mouse equipped with a jetpack and goggles hovering above a maze, heading toward a block of cheese. The scientists are holding clipboards and appear to be taking notes with concerned or surprised expressions. In the background, there are cages with other mice.One scientist is speaking.",Let’s just give him the damn cheese.,"Yes, that's cool. But it's not statistically significant.",Exhibits inability to understand maze exercise.
694,https://nextml.github.io/caption-contest-data/cartoons/694.jpg,"A person is shoveling snow on a sidewalk while another person stands behind them, holding a large guitar. Both are dressed warmly in winter clothing, including hats and earmuffs. The scene takes place outside a house with snow-covered ground and trees in the background. The person with the guitar appears to be speaking.",I didn’t say I would help. I said I’d accompany you.,This one’s about a man who wouldn’t buy a snowblower.,It’s like you’re not even trying to shovel on beat.
695,https://nextml.github.io/caption-contest-data/cartoons/695.jpg,"A slice of bread with a face, arms, and legs, wearing a bow tie, stands in front of a restaurant podium. Behind the podium is a surprised-looking host with a bald head and a bow tie, holding a pen and a notepad. The host is speaking to the bread, who looks disappointed.",You’re in luck. A slot for you just opened up in our kitchen.,"I’m sorry, sir. We no longer serve bread.","Yes, we seated a potato, but he had a jacket."
696,https://nextml.github.io/caption-contest-data/cartoons/696.jpg,"In an upscale dining room with a chandelier and a framed painting on the wall, a cowboy is something from a bucket into a pig trough set atop the table. A well-dressed man and a woman are seated at the table, watching the trough as he pours. The woman is speaking with a neutral expression.","If there’s a ring in here, Hank, I swear to God . . .",Don’t ask for a spoon—he’ll know we’re tourists.,I have a feeling I’m not going to like the suggested wine pairing.
697,https://nextml.github.io/caption-contest-data/cartoons/697.jpg,"A man in tattered clothes and a blindfold walks the plank from a subway train, while typical pirate captain with an eye patch, hat, parrot, and peg leg, along with a shirtless crew member with a bandana watch from the train's doorway. The scene is absurdly set in a modern subway station. The crew member is speaking from behind the captain.",No one crosses the Pirates of Penn Station.,Wait till he finds out this isn't his stop.,Transfer to the F train and that’ll take you right to the ocean. Then jump in that.
698,https://nextml.github.io/caption-contest-data/cartoons/698.jpg,"In a black and white cartoon, a man wearing a yellow crown and a red royal robe walks down a city sidewalk with a woman. They pass by a person walking a dog and another couple engaged in conversation. The scene is set against a backdrop of buildings with windows and a door under an arched entrance. The man with the crown appears out of place in the otherwise ordinary urban setting. The woman is speaking.","Harry, the whole point of leaving England was to blend in.","They weren’t usurpers, dear. They just had a reservation.",So this is your idea of treating me like a queen?
699,https://nextml.github.io/caption-contest-data/cartoons/699.jpg,"A therapist sits in an armchair taking notes while three patients lie on a triple-decker couch. The patients are stacked one above the other, each lying down as if on a traditional therapy couch. The room is decorated with certificates on the wall and a lamp on a side table. The therapist is speaking.",And how do you feel about how she feels about how he feels?,"Today, we’re going to work on your codependence issues, your separation anxiety, and your fear of heights.",Trust me. You're not alone.
700,https://nextml.github.io/caption-contest-data/cartoons/700.jpg,"A centaur, dressed in a suit, stands at a pharmacy counter holding a coffee cup, speaking to a pharmacist behind the counter holding a pill bottle. The pharmacy shelves are filled with various bottles and boxes of medication. There is a bench to the right of the centaur. The pharmacist is speaking, unfazed by the centaur.",Looks like you’re already familiar with the side effects.,"They didn’t specify which one, but your insurance will only cover half.","Use caution when pulling a wagon, a plow, or other machinery while you’re on this medication."
701,https://nextml.github.io/caption-contest-data/cartoons/701.jpg,"In a bustling restaurant, a waitress with a notepad looks surprised as she takes an order from a mouse sitting at a table, holding a menu. Other diners in the background seem oblivious to the unusual scene. The mouse is speaking","I know I don’t look familiar, but, believe me, I eat here all the time.","The last time I was here, I swear they tried to poison me.",There’ll be several hundred of us.
702,https://nextml.github.io/caption-contest-data/cartoons/702.jpg,"In a barbershop, a barber holding scissors and a towel stands near a door with a ""SORRY WE'RE CLOSED"" sign. He looks at a customer who has a bird nesting on his curly hair. The customer stands with his hands in his pockets, seemingly unfazed by the bird on his head. The customer is speaking.",Could you trim the sides but leave it feathered on top?,"When you wear a baseball cap, everyone knows you’re just covering a bald spot.",Just be glad I didn’t come here when I had a ponytail.
703,https://nextml.github.io/caption-contest-data/cartoons/703.jpg,"A waiter stands near a table where a woman is sitting with a bowl of food. The waiter is pointing at a crocodile, which is emerging from what seems to be a trench or a pit near the dining area. The scene is an absurd juxtaposition of a regular dining setting and a dangerous, out-of-place alligator, creating humor through the waiter’s calm reaction to the bizarre situation.","Past the alligator, through the ring of fire, first door on your left.",Let’s just say he’ll have what you’re having.,We’re trying to teach him not to beg at the table.
704,https://nextml.github.io/caption-contest-data/cartoons/704.jpg,"Two men in orchestra attire are standing inside an elevator, each wearing a large tuba around their waist. Outside the elevator, a man with a bag over his shoulder is looking at them. The elevator doors are open, and there are potted plants on either side of the entrance. One of the tuba men is speaking.","No, you come in on four.",Don’t worry. We know how to conduct ourselves.,We promise there will be no awkward silence.
705,https://nextml.github.io/caption-contest-data/cartoons/705.jpg,"Two cowboys on horseback survey a chaotic scene in the desert where a large, modern espresso machine has been overturned, spilling coffee beans and equipment everywhere. A campfire burns nearby, and cacti dot the landscape. One cowboy appears to be speaking to the other.",Decaf. They can’t be far away.,Americanos.,Grounds still warm . . .
706,https://nextml.github.io/caption-contest-data/cartoons/706.jpg,"Two hikers with explorer backpacks and walking sticks are trekking through a forest and come across two subway trains, labeled ""2"" and ""A,"" parked amidst the trees. The scene is a humorous juxtaposition of nature and urban elements. One hiker is saying something to the other.","Of course—we wait forever, then two come at the same time.","Apparently, they wouldn't ask for directions, either.","Of all the things we packed, I didn't think to bring my MetroCard."
707,https://nextml.github.io/caption-contest-data/cartoons/707.jpg,"A man dressed as the mythological figure Atlas, complete with sandals and a toga, is struggling to carry a large globe on his back as he exits a house. Inside the room, a woman in a bathrobe and slippers, holding a cup of coffee, watches him with a nonchalant expression. Man is speaking back to the woman with a strained expression.","Next week, I'll move Heaven for you.",It’s mostly water weight.,I'm not bringing work home anymore.
708,https://nextml.github.io/caption-contest-data/cartoons/708.jpg,"In a chaotic kitchen, a chef stands in front of a stove with a pot boiling over, spilling its contents. The kitchen is a mess, with open cabinets and a blender that appears to have overflowed. The chef, looking frustrated, is looking back at a knight in full plate armor standing nearby, which is observing the scene.",Fine—next time you slay the dragon and I'll cook.,I heard dinner needed rescuing.,The round table is set.
709,https://nextml.github.io/caption-contest-data/cartoons/709.jpg,"A woman with a briefcase is about to enter an elevator, but instead of the elevator floor, there is a pit filled with flames and people with nonchalant expressions. The elevator doors are open, revealing the chaotic scene inside, while the woman appears calm and composed. The elevator buttons on the wall next to the elevator.",Try the stairs. This takes an eternity.,We’re temps―the eternally damned are back Monday.,So now we know what the ‘FIRE’ button does.
710,https://nextml.github.io/caption-contest-data/cartoons/710.jpg,"A bird wearing a fedora hat sits in nest atop a branch, playing a guitar with a microphone on a stand in front of it, appearing as a musician. Below, two people stand on the ground with binoculars, looking up at the peculiar scene. One of the birdwatchers is speaking.","I can usually identify a bird by the song, but I think he’s doing a cover.",Remember when he was just a humming bird?,A group of them is called a band.
711,https://nextml.github.io/caption-contest-data/cartoons/711.jpg,"In a living room, a woman sits on a couch, covering her face in distress as a baseball game unfolds around her. A batter, catcher, and pitcher, all in full baseball gear, are positioned as if in the middle of a game. A cat peeks out from behind the catcher. The room is furnished with curtains, a lamp, and a framed picture on the wall. The woman is speaking.",All his pitches have been inside.,"Seriously, you wouldn’t believe my seats.",I have to hang up. I’m on deck.
712,https://nextml.github.io/caption-contest-data/cartoons/712.jpg,"In a modern office setting, a dinosaur-like creature sits behind a desk, talking to a lizard-like creature seated across from it. The dinosaur has a laptop and papers on the desk, and both creatures appear to be smiling, engaged in a business conversation. Through the large window behind them, a meteor is seen hurtling towards the cityscape outside. The dinosaur is speaking.",Tell me about a time you identified a problem that others didn’t see coming.,"I don’t know about you, but I can’t wait for this day to end.",One last thing ...
713,https://nextml.github.io/caption-contest-data/cartoons/713.jpg,"In a mechanic's garage, a car with its hood open reveals a group of clowns and a businessman packed tightly inside the engine compartment. A mechanic another clown stand outside the car, looking at the scene. Another car is visible on a lift in the background. The mechanic is speaking.",I found something serious under the hood.,Who’s the clown in the suit?,Looks like one of them has bad timing.
714,https://nextml.github.io/caption-contest-data/cartoons/714.jpg,"A man and a woman are in a swimming pool, passing with a large beach ball between them. A cat is sitting on top of the beach ball, looking displeased. There are wine glasses on the edge of the pool and a bottle of wine on a nearby table. The setting appears to be a patio with potted plants in the background. The woman is speaking with a smile.",You’re right. It is easier with the ball.,He just loves finding new ways to be indifferent.,"Remember, whoever drops him gets to dry him off."
715,https://nextml.github.io/caption-contest-data/cartoons/715.jpg,"In a bar, a bartender is pouring a drink for a customer who is an anthropomorphic egg with a bandaged head, cracks, and a band-aid on its face. The egg is sitting on a barstool, looking distressed, and holding an ice pack to its head. The bar has shelves filled with bottles in the background. The egg, wearing a suit, is speaking.",And then I find out all the king’s horses and all the king’s men are out-of-network.,It’s never over easy.,"No, actually I fell off the wagon."
716,https://nextml.github.io/caption-contest-data/cartoons/716.jpg,"A man and a woman stand in a kitchen that is heavily fortified with chains, locks, and bear traps. The refrigerator, cabinets, and even the light fixture are all secured with multiple chains and padlocks. The floor is littered with bear traps and spikes, creating an absurdly over-the-top security setup. The couple looks pleased as they observe the extreme measures taken to secure the kitchen. The woman is speaking.",He could have just written his name on his yogurt.,Do you think we should add a password?,Damn. Now I’m kinda hungry.
717,https://nextml.github.io/caption-contest-data/cartoons/717.jpg,"In a modern living room with abstract art on the walls and a cityscape visible through the window, a giraffe's head emerges from a hole in the floor. A couple sitting on a couch next to the giraffe look surprised and bewildered. The man is speaking.","I know it’s not an elephant, but we still need to talk about it.","Well, who ever reads the entire lease?",But they don’t allow dogs?
718,https://nextml.github.io/caption-contest-data/cartoons/718.jpg,"In a rustic, fenced-in area under a cloudy sky, a cowboy with a tall hat stands facing a horse. The cartoon is black and white, but the horse is wearing colorful sneakers on all four hooves—two pink and two blue. The horse appears to be speaking to the cowboy.",I don’t need your approval. I just need you to tie the laces.,I don’t think ‘dressage’ means what you think it means.,"Because they don’t need to be nailed to my feet, that’s why."
719,https://nextml.github.io/caption-contest-data/cartoons/719.jpg,"Three people stand on a sidewalk, looking at a building unit that is a giant stack of washing machines. One a woman, possibly a building manager or real estate agent, holding a clipboard, is explaining something with a smile to the other two, a couple, who look surprised.","Between you and me, the owner can’t unload this fast enough.",You pay rent quarterly.,"And, for your convenience, there’s an apartment within walking distance."
720,https://nextml.github.io/caption-contest-data/cartoons/720.jpg,"A man tattered clothing is struggling to push a massive boulder uphill like the Greek myth of Sisyphus. On the side of the hill, a modern woman in a sleek dress is casually sitting at a table with a bowl of snacks and a glass of wine, watching the caveman, speaking to hum.",Do you struggle endlessly through here often?,You think that’s punishment? Try an eternity of listening to pickup lines.,"Sorry, I said hold the rocks."
721,https://nextml.github.io/caption-contest-data/cartoons/721.jpg,"In a fenced playground, a child is kneeling in a sandbox, happily building a giant sandcastle tower. Another child is peering out from a window near the top of the tower, looking down at the builder. The scene humorously mimics a fairy tale rescue scenario.",I’m starting to regret that haircut.,This is why nobody likes to play with you.,How’s that door coming along?
722,https://nextml.github.io/caption-contest-data/cartoons/722.jpg,"A colossal grand piano has crashed through the roof of a house, causing extensive damage and leaving debris scattered everywhere. Two people stand on the sidewalk, looking at the destruction in disbelief. The mailbox is knocked over, and the house is in shambles. One onlooker is speaking.","The piano's in tune, but the house is a little flat.","'Amazon drone delivery,' you said. 'It’s so convenient,' you said.","In 2019, I would have been both confused and alarmed by this."
723,https://nextml.github.io/caption-contest-data/cartoons/723.jpg,"In a recording studio, a band of anthropomorphic animals is performing. A dog plays the keyboard, a cat and dog play guitars, another cat sings into a microphone, and a fish in a tank has a trumpet. Two human sound engineers are in the control room, observing the performance through a window. One engineer is speaking to the other.","We should be able to finish the album today, as long as no one rings the doorbell.",Less woofer?,That’s perfect. Get out the treats.
724,https://nextml.github.io/caption-contest-data/cartoons/724.jpg,"In a bookstore, a woman sits behind a table with a sign that reads ""MEET THE AUTHOR 2 P.M."" She looks somewhat disinterested. In front of her, a long line of people waits, headed by a large, spiky dinosaur holding a book, eagerly awaiting an autograph. The dinosaur is speaking.","To Archaeopteryx, spelled just like it sounds.","I couldn’t put it down. In fact, I couldn’t pick it up.",I’m also a voracious reader.
725,https://nextml.github.io/caption-contest-data/cartoons/725.jpg,"In a grayscale cartoon set in a medieval landscape with a mountain and a distant village, a bearded man dressed in traditional medieval attire and a feathered hat holds a crossbow. He stands under a tree, looking somewhat perplexed. Opposite him, a child with a bowl haircut, wearing overalls and a shirt, leans against another tree. The child has a cherry on top of their head instead of the typical apple. The child is speaking.","I’m just saying, after this haircut, it’s difficult to trust you.",I now see why you only get me every other weekend.,"You know, pumpkins are in season, too."
726,https://nextml.github.io/caption-contest-data/cartoons/726.jpg,"A woman lounging in a chair outdoors is being lifted by a pair of giant mosquitos, while a man in another chair looks on in shock. The scene is set under a tree, and the woman's sandal has fallen off. The mosquito's enormous size and the woman's alarmed expression add an absurd and uncanny element to the cartoon. The man is speaking.","To be fair, Martha, you did just kill one of their kids.","It’s odd, you know. They never seem to bother me.","If you ignore them, they go away."
727,https://nextml.github.io/caption-contest-data/cartoons/727.jpg,"A real estate agent is showing a couple an empty room with a window that looks out into outer space, complete with planets and stars. The agent is gesturing enthusiastically, while the couple looks surprised and slightly bewildered.",It’s the closest you’ll get to Manhattan in your price range.,Keep in mind the neighborhood is expanding.,"And, if you open the window, the view will take your breath away."
728,https://nextml.github.io/caption-contest-data/cartoons/728.jpg,"A man in sunglasses and swim trunks lounges on a desert island under a palm tree, holding a coconut drink with a straw and umbrella. He appears relaxed and carefree. Standing nearby is a disheveled man with torn clothes, holding a briefcase and looking exhausted and bewildered. The lounging man is speaking.",Thank you for agreeing to meet remotely.,"Relax, take off your shoe.",All my co-workers think this is just a virtual Zoom background.
729,https://nextml.github.io/caption-contest-data/cartoons/729.jpg,"In a grand medieval throne room, two royals wearing crowns are lounging in a hammock suspended on a raised platform where a throne would typically be. The room is adorned with royal crests and medieval weapons on the walls. A guard stands at the entrance, holding a halberd and observing the scene. The royals appear to be in a relaxed conversation.","We can’t be overthrown, but we can be swayed.",We’ll show those Ottomans.,How long can we maintain this balance of power?
730,https://nextml.github.io/caption-contest-data/cartoons/730.jpg,"In a laboratory setting, a scientist with the head of a mouse and wearing a lab coat is holding a clipboard and conversing with a human scientist, also in a lab coat, who is holding a clipboard. The lab is equipped with various scientific apparatus, including a microscope, test tubes, and flasks. The mouse-headed scientist appears to be listening attentively to the woman, who is speaking.","And, when you get hungry, the cafeteria is to your right, left, left, right, left, straight, right, straight, left, and then you push on the big lever.",They tell me your family has been doing lab work for generations.,I bet you also had to be twice as smart as the men.
731,https://nextml.github.io/caption-contest-data/cartoons/731.jpg,"In a minimalist therapist’s office with a bed and a small window with potted plants, a woman is digging a hole in the floor with a shovel. Nearby, the therapist sits in an armchair, attentively taking notes on a clipboard. The therapist is speaking to the woman, who looks back at him.","During next week’s session, we’ll have you paint yourself into a corner.","No, by all means—I want to see where you’re going with this.","Welcome to Canada—we’ve been expecting you, have a seat."
732,https://nextml.github.io/caption-contest-data/cartoons/732.jpg,"In a courtroom setting, a teddy bear is seated in the witness stand, with a microphone in front of it. A woman stands nearby holding a document, looking at the teddy bear. The judge, seated at the bench with a gavel and microphone, appears to be listening attentively.",Where were you between the hours of beddy-bye and nighty-night?,The defense can’t rest without this witness.,We demand blanket immunity.
